Province_State,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate
Alabama,25615,773,13508,11334,522.4155319,297455,2255,3.017763029,6066.566936,8.803435487
Alaska,660,12,411,237,90.22001381,73467,,1.818181818,10042.71781,
American Samoa,0,0,,0,0,174,,,312.7190381,
Arizona,35706,1191,6333,28182,490.5534863,338045,3726,3.335573853,4644.293768,10.43522097
Arkansas,12501,179,8110,4212,414.2416141,196989,998,1.431885449,6527.561101,7.983361331
California,152300,5099,,147201,385.4503453,2801996,,3.347997374,7091.466355,
Colorado,29115,1598,4178,23339,505.5796967,244643,5244,5.48857977,4248.206551,18.01133436
Connecticut,45088,4201,7611,33276,1264.638723,349106,9912,9.317334989,9791.806382,21.98367637
Delaware,10264,422,6172,3670,1054.054165,81787,,4.111457521,8399.057677,
Diamond Princess,49,0,,49,,,,0,,
District of Columbia,9767,515,1150,8102,1383.919779,64530,,5.272857582,9143.477355,
Florida,75568,2931,,72637,351.8433995,1409015,12224,3.878625873,6560.351307,16.17615922
Georgia,57681,2451,,55230,543.26742,620790,9248,4.24923285,5846.899007,16.03300914
Grand Princess,103,3,,100,,,,2.912621359,,
Guam,183,5,168,10,111.4297718,8543,,2.732240437,5201.882737,
Hawaii,728,17,628,83,51.41707725,60322,89,2.335164835,4260.413371,12.22527473
Idaho,3399,87,2837,475,190.2001326,62980,266,2.559576346,3524.214284,7.825831127
Illinois,132543,6308,,126235,1045.966479,1191846,,4.759210219,9405.483237,
Indiana,39909,2422,28522,8965,592.8060273,348391,6419,6.068806535,5174.980196,16.08409131
Iowa,23926,652,14383,8891,758.3349973,224634,,2.725068963,7119.778642,
Kansas,11101,245,667,10189,381.0437186,129152,973,2.207008378,4433.164431,8.764976128
Kentucky,12445,499,3409,8537,278.5566446,294585,2433,4.009642427,6593.701016,19.55002009
Louisiana,46619,3014,33904,9701,1002.819226,509332,,6.465175143,10956.21789,
Maine,2793,100,2173,520,207.7797252,69858,314,3.58037952,5196.9481,11.24239169
Maryland,61701,2939,4541,54221,1020.579984,415309,10165,4.76329395,6869.516746,16.47461143
Massachusetts,105603,7624,,97979,1532.142968,712710,10802,7.21949187,10340.36547,10.22887607
Michigan,66054,6016,44964,15074,661.4092902,813498,,9.107699761,8145.685875,
Minnesota,30471,1329,26090,3052,540.3012111,417710,3610,4.361524072,7406.688947,11.84733025
Mississippi,19516,891,13356,5269,655.7467385,214053,2665,4.56548473,7192.281032,13.65546218
Missouri,16262,885,,15377,264.9644118,275489,,5.442135039,4488.671802,
Montana,601,19,510,72,56.2324449,58907,77,3.161397671,5511.621684,12.81198003
Nebraska,16730,215,9879,6636,864.8640824,136115,1070,1.285116557,7036.5197,6.395696354
Nevada,11201,463,627,10111,363.6504125,210611,,4.133559504,6837.673157,
New Hampshire,5318,320,3905,1093,391.1125232,96421,513,6.017299737,7091.28631,9.64648364
New Jersey,166881,12659,28714,125508,1878.827181,1097616,18737,7.585644861,12357.49292,11.2277611
New Mexico,9723,435,4072,5216,463.7001873,258994,1625,4.4739278,12351.69868,16.71294868
New York,383324,30825,68761,283738,1970.45672,2934599,89995,8.041500141,15085.15073,23.47752815
North Carolina,44264,1132,23653,19479,422.0408608,627130,,2.557382975,5979.452491,
North Dakota,3080,74,2658,348,404.1665901,86880,197,2.402597403,11400.64719,6.396103896
Northern Mariana Islands,30,2,19,9,54.40301755,8169,,6.666666667,14813.94168,
Ohio,41148,2559,,38589,352.0202582,546220,6895,6.21901429,4672.900394,16.75658598
Oklahoma,8231,359,6578,1294,208.012644,250818,1116,4.361559956,6338.636295,13.55849836
Oregon,5377,173,2396,2808,127.4854264,166189,875,3.217407476,3940.24094,16.27301469
Pennsylvania,83203,6215,58310,18678,649.9224456,583233,,7.469682584,4555.799884,
Puerto Rico,5811,147,,5664,198.0972303,5811,,2.52968508,198.0972303,
Rhode Island,15947,833,1435,13679,1505.341428,191518,1853,5.223553019,18078.6342,11.61974039
South Carolina,18795,600,8682,9513,365.0426106,248336,1988,3.192338388,4823.262663,10.57728119
South Dakota,5898,75,4899,924,666.6975637,65319,539,1.271617497,7383.522917,9.138691082
Tennessee,30343,474,19896,9973,444.314349,615220,2087,1.562139538,9008.702956,6.878027881
Texas,88523,1984,58341,28198,305.2950866,1295983,,2.241225444,4469.541726,
Utah,14313,139,8252,5922,446.4500159,267713,1028,0.971145113,8350.483693,7.182281842
Vermont,1127,55,909,163,180.6121582,50982,,4.880212955,8170.336336,
Virgin Islands,72,6,64,2,67.12160197,2377,,8.333333333,2215.945109,
Virginia,54506,1546,7178,45782,638.5786266,469000,8136,2.836384985,5494.686381,14.92679705
Washington,25834,1217,,24617,339.2562443,450146,3845,4.710846172,5911.389694,14.88348688
West Virginia,2290,88,1571,631,127.7796966,131199,,3.84279476,7320.772236,
Wisconsin,22758,692,16558,5508,390.867462,420124,3049,3.040688988,7215.607768,13.3974866
Wyoming,1060,18,834,208,183.1504996,33065,93,1.698113208,5713.086103,8.773584906
